hotel_id,hotel_name,hotel_URL,img_URL,street_address,city
1011531,null,http://www.tripadvisor.com/ShowUserReviews-g147320-d1011531-r13782423-Mario_s_Hotel_Restaurant-San_Juan_Puerto_Rico.html,null,null,null
1012556,null,http://www.tripadvisor.com/ShowUserReviews-g297700-d1012556-r19925430-Vila_Shanti_Beach_Hotel-Sanur_Bali.html,null,null,null
1012863,Hotel Treasure Island,http://www.tripadvisor.com/ShowUserReviews-g1012437-d1012863-Reviews-Hotel_Treasure_Island-Cidra_Puerto_Rico.html,http://media-cdn.tripadvisor.com/media/photo-s/01/f3/49/df/hotel-treasure-island.jpg,Carr. 172 Interior Kilometer 13.5,Cidra
1012900,null,http://www.tripadvisor.com/ShowUserReviews-g187895-d1012900-r22744026-Hotel_Piccadilly-Florence_Tuscany.html,null,null,null
1013095,Gezi Hotel Bosphorus,http://www.tripadvisor.com/ShowUserReviews-g293974-d1013095-Reviews-Gezi_Hotel_Bosphorus-Istanbul.html,http://media-cdn.tripadvisor.com/media/photo-s/01/d1/d7/cf/bosphorus-suite.jpg,Mete Cd. No:34,Istanbul
1013185,null,http://www.tripadvisor.com/ShowUserReviews-g187323-d1013185-r14812221-Pension_Gitte-Berlin.html,null,null,null
1013278,null,http://www.tripadvisor.com/ShowUserReviews-g187895-d1013278-r18702991-Arti_Hotel-Florence_Tuscany.html,null,null,null
1013426,Meininger City Hostel & Hotel Senefelder Platz,http://www.tripadvisor.com/ShowUserReviews-g187323-d1013426-Reviews-Meininger_City_Hostel_Hotel_Senefelder_Platz-Berlin.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/51/70/5170fb11dace269fa28654ef8b32490b6large.jpg,Schoenhauser Allee 19,Berlin
1013439,null,http://www.tripadvisor.com/ShowUserReviews-g187497-d1013439-r17999643-Las_Ramblas_Bacardi_Apartments-Barcelona_Catalonia.html,null,null,null
101352,Hyatt Regency Maui Resort and Spa,http://www.tripadvisor.com/ShowUserReviews-g60634-d101352-Reviews-Hyatt_Regency_Maui_Resort_and_Spa-Lahaina_Maui_Hawaii.html,http://media-cdn.tripadvisor.com/media/photo-s/02/3e/5f/11/321-p093r-exterior-dusk.jpg,200 Nohea Kai Drive,Lahaina
101357,Ka'anapali Beach Hotel,http://www.tripadvisor.com/ShowUserReviews-g60634-d101357-Reviews-Ka_anapali_Beach_Hotel-Lahaina_Maui_Hawaii.html,http://media-cdn.tripadvisor.com/media/photo-s/01/80/89/e2/ka-anapali-beach-hotel.jpg,2525 Kaanapali Pkwy,Lahaina
1013704,Domina Home Ca' Zusto,http://www.tripadvisor.com/ShowUserReviews-g187870-d1013704-Reviews-Domina_Home_Ca_Zusto-Venice_Veneto.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/62/4b/624b3e2e46a1e45f2a43821374c2efe86large.jpg,,
101371,Outrigger Maui Eldorado,http://www.tripadvisor.com/ShowUserReviews-g60634-d101371-Reviews-Outrigger_Maui_Eldorado-Lahaina_Maui_Hawaii.html,http://media-cdn.tripadvisor.com/media/photo-s/01/e8/3c/6f/another-day-another-rainbow.jpg,2661 Keka'a Drive,Lahaina
1014097,Hotel-Pension Uhland am Kurfuerstendamm,http://www.tripadvisor.com/ShowUserReviews-g187323-d1014097-Reviews-Hotel_Pension_Uhland_am_Kurfuerstendamm-Berlin.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/14/4a/144a8afb81c1f9ec66a4759bd74b37166large.jpg,Uhlandstrasse 142,Berlin
1014178,null,http://www.tripadvisor.com/ShowUserReviews-g608484-d1014178-r17420238-Amed_Cafe_Bungalows-Karangasem_Bali.html,null,null,null
1014347,BEST WESTERN Premier Regency Suites & Spa,http://www.tripadvisor.com/ShowUserReviews-g293974-d1014347-Reviews-BEST_WESTERN_Premier_Regency_Suites_Spa-Istanbul.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/a0/9b/a09bd7bdc2806b9a7e62131ad8c3a11f6large.jpg,Akbiyik Cad. No:38,Istanbul
1014389,null,http://www.tripadvisor.com/ShowUserReviews-g608487-d1014389-r13950163-Bali_Coconut_Hotel-Legian_Bali.html,null,null,null
1014399,null,http://www.tripadvisor.com/ShowUserReviews-g187323-d1014399-r20837105-Malzcafe_Hotel-Berlin.html,null,null,null
1014553,Al Jawhara Metro,http://www.tripadvisor.com/ShowUserReviews-g295424-d1014553-Reviews-Al_Jawhara_Metro-Dubai.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/da/25/da25f4f816551619627f2ab251a2caf35large.jpg,Al Rigga Rd,Dubai
1014897,Hotel Windsor,http://www.tripadvisor.com/ShowUserReviews-g294265-d1014897-Reviews-Hotel_Windsor-Singapore.html,http://media-cdn.tripadvisor.com/media/photo-s/01/d9/bd/02/hotel-windsor.jpg,401,Singapore
1014998,null,http://www.tripadvisor.com/ShowUserReviews-g147293-d1014998-r13992745-Rand_Palladium_Palace_Resort_Spa_Casino-Punta_Cana_Dominican_Republic.html,null,null,null
